id,title,features,sizing,flat_embroidery_24,flat_embroidery_48,flat_embroidery_96,flat_embroidery_144,flat_embroidery_576,flat_embroidery_2500+,3d_embroidery_24,3d_embroidery_48,3d_embroidery_96,3d_embroidery_144,3d_embroidery_576,3d_embroidery_2500+,available_colors
i7041,Lightweight Aerated Performance Cap,Medium profile six panel structured cap; Modified flat visor; 100% aerated polyester fabric; UV protection & moisture wicking; Adjustable snap back closure,XS / OSFM,17.5,15.75,15.5,15.5,15.25,15.25,22.25,20.75,20.5,20.25,20.25,20.0,Black (Out of Stock); Gray; Maroon; Navy; Red; Royal Blue (Out of Stock); White
i7256,Athletic Rope Cap,Medium profile five panel structured cap; Modified flat visor; 100% polyester performance fabric; UV protection & moisture wicking; Braided rope accent; Adjustable snap back closure,OSFM,17.25,15.5,15.5,15.25,15.0,15.0,22.0,20.5,20.25,20.0,20.0,19.75,Black; White (Out of Stock); White / Red Trim; Red (Out of Stock); Royal Blue; Green; Khaki; Navy (Out of Stock); Charcoal; Gray (Out of Stock); White / Blue Trim; Black (Out of Stock); Navy / White Trim (Out of Stock); Yellow (Out of Stock); Maroon (Out of Stock); White (Out of Stock)
i8501,Performance Trucker Mesh Back Cap,Mid profile six panel structured on-field cap; Shapeable flat round visor with contrasting silver polyester undervisor; Poly/spandex blend fabric with performance mesh; UV protection & moisture wicking; Athletic performance sweatband,XS / S / M / L / XL / XXL,19.75,19.0,18.75,18.5,18.5,18.25,22.75,22.0,21.75,21.5,21.5,21.25,White / Red; White / Royal; White / Orange; White / Navy; White / Maroon; White / Black; White / Gray; White / Pink; White / Neon Yellow; Orange; Red; Royal Blue; Yellow / Black; Green / White; Black / White; Gray / White; Blue / White; Navy / White; Black / White; Red / White; Maroon / White; Green / White; Purple / White; Khaki / White; Gold / Black; Red; Royal Blue
i8502,Premium Trucker Mesh Back Cap,Mid profile six panel structured trucker cap; Shapeable pre-curved visor with contrasting silver polyester undervisor; Poly/spandex blend fabric with performance mesh; UV protection and moisture wicking; 110 TechnologyÂ® sweatband with adjustable snap back closure,OSFM,20.25,19.25,19.25,19.0,18.75,18.75,23.25,22.25,22.25,22.0,21.75,21.75,Yellow; Orange; Red; Royal Blue; Navy / White; Black / White; Green; Gray / White; Black / Gray; Charcoal / White; White / Royal; White / Red; White / Black; White / Navy; White / Green; White / Orange; White / Maroon; Blue / White; Purple / White; Yellow / White; Orange / White
i8503,Perforated Performance Cap,Mid profile six panel structured on-field cap; Shapeable flat round visor with contrasting silver polyester undervisor; Poly/sport blend fabric with perforated side and back; UV protection & moisture wicking; Athletic performance sweatband,XS / S / M / L / XL / XXL,19.25,18.25,18.0,18.0,17.75,17.75,22.25,21.25,21.0,21.0,20.75,20.75,White; Royal Blue; Navy; Green; Orange; Red; Gray; Black; Maroon; Brown; Purple; Forest Green; White / Navy; White / Royal; White / Red; White / Black; White / Green; White / Gray
i8504,Wool Blend Performance Cap,Mid profile six panel structured on-field cap; Shapeable flat round visor with contrasting silver polyester undervisor; Acrylic/wool/spandex sport blend fabric; UV protection; Cool & dry performance sweatband,XS / S / M / L / XL,19.75,18.75,18.75,18.5,18.5,18.25,22.75,21.75,21.75,21.5,21.5,21.25,Royal Blue; Navy; Red; Maroon; Orange; Green; Forest Green; Gray; Black; White; Purple; Khaki; Yellow
i8505,Original Poly/Cotton Snap Back Cap,Mid profile six panel structured full fabric cap; Modified flat visor with contrasting silver undervisor; Poly/cotton blend fabric; UV protection & moisture wicking; 3-part comfort fit sweatband with adjustable snap back closure,XS / OSFM,13.0,12.25,12.0,11.75,11.75,11.5,16.0,15.25,15.0,14.75,14.75,14.5,Black; Gray; White; Navy; Royal Blue; Red; Maroon; Orange; Green; Forest Green; Brown; Purple
i8508,Aerated Performance Cap,Mid profile six panel structured on-field cap; Shapeable flat round visor with contrasting silver polyester undervisor; 100% polyester fabric with nylon interface; Moisture wicking; Cool & dry performance sweatband,XS / S / M / L / XL,19.75,19.5,19.5,19.25,19.25,19.0,22.5,22.0,22.0,21.75,21.75,21.5,Orange; Red; Maroon; Royal Blue; Navy; Green; Forest Green; Gray; Black; White; Purple; Brown; Khaki; Yellow
i8525,Ribbed Tri-Blend Trucker Mesh Back Cap,Low profile six panel structured trucker cap; Shapeable pre-curved visor; Poly/nylon/spandex blend fabric with performance mesh; Moisture wicking; 110 TechnologyÂ® sweatband with adjustable snap back closure,OSFM,20.25,19.25,19.25,19.0,19.0,18.75,23.25,22.25,22.25,22.0,22.0,21.75,Heather Gray / Black; Heather Royal / White; Heather Red / White; Black; Heather Navy / White
i8530,Full Fabric Performance Cap,Mid profile six panel structured on-field cap; Shapeable flat round visor with contrasting silver polyester undervisor; Poly/sport blend fabric; UV protection & moisture wicking; Athletic performance sweatband,XS / S / M / L / XL / XXL,19.25,19.0,18.0,17.75,17.75,17.5,22.25,21.25,21.0,20.75,20.75,20.75,White; Royal Blue; Navy; Green; Orange; Red; Maroon; Gray; Black; Purple; Brown; Forest Green; Khaki; Yellow
i8533,Perforated Performance Snap Back Cap,Mid profile six panel structured cap; Shapeable pre-curved visor with contrasting silver polyester undervisor; Poly/sport blend fabric with perforated side and back; UV protection and moisture wicking; 110 TechnologyÂ® sweatband with adjustable snap back closure,OSFM,20.25,19.25,19.25,19.0,18.75,18.75,23.25,22.25,22.25,22.0,21.75,21.75,Gray; Navy; Black; White; Red; Royal Blue; Maroon; Green
i3038,Poly/Cotton Trucker Mesh Back Cap,Medium profile six panel structured cap; Modified flat visor; Poly/cotton blend with trucker mesh back; Adjustable snap back closure,OSFM,13.0,11.5,11.25,11.0,11.0,10.75,18.0,16.25,16.25,16.0,15.75,15.75,Green/Khaki; Red/White; Black/White; Royal Blue/White; Navy/White; Maroon/White; Orange/White; Yellow/Black; Green/White; Gray/Black; Black/Black; Gray/White; Red/Black; White/Black; Navy/Red; Navy/Khaki; Red/Navy; Royal/Red
i8540,Premium Water-Resistant Perforated Cap,Medium profile five panel structured cap; Modified flat visor with contrasting silver poly/cotton undervisor; Premium stretchable poly/spandex blend fabric with perforated sides & back; UV protection; Water-resistant crown and visor; Quick-dry sweatband with adjustable snap back closure,OSFM,24.0,23.0,23.0,22.75,22.5,22.5,27.0,26.0,26.0,25.75,25.5,25.5,Gray/Black; Black/White; Navy/White; Red/White; Royal Blue/White; White/Black; Charcoal/Black
TKN24,Knit Cap with Cuff,100% acrylic pro rib Tompkins knit cap with cuff,,11.75,11.0,9.25,9.25,9.0,8.75,,,,,,,Black; Royal Blue; Navy; Green; Maroon; Red; Orange; Yellow; Neon Yellow; Neon Green; Pink; Purple; Brown; Charcoal; Gray; White; Beige; Redwood
i2005,Camo Trucker Mesh Back Cap,Medium profile six panel structured cap; Standard pre-curved visor; Camouflage twill or blaze fabric with trucker mesh; Adjustable snap back closure,OSFM,12.75,11.0,11.0,10.75,10.5,10.5,17.5,16.0,15.75,15.5,15.5,15.25,Green Camo; Brown Camo; Dark Camo; Blaze Orange; Digital Green Camo; Digital Gray Camo
i2012,Tactical Screen Print Mesh Back Cap,Low profile six panel structured cap; Standard pre-curved visor; Chino twill with black sandwich mesh; No button on crown; Adjustable snap back closure,OSFM,17.5,15.75,15.75,15.5,15.5,15.25,22.25,20.75,20.5,20.5,20.25,20.0,Black / Black Mesh; Khaki / Black Mesh; Brown / Black Mesh; Olive / Black Mesh; Red / Black Mesh; Navy / Black Mesh
i2021,MultiCamÂ® Trucker Mesh Back Cap,Medium profile six panel structured cap; Modified flat visor; Poly/cotton blend MultiCamÂ® ripstop crease resistant fabric with trucker mesh; Adjustable snap back closure,OSFM,16.0,14.25,14.0,14.0,13.75,13.75,20.75,19.25,19.0,18.75,18.75,18.5,MultiCam; MultiCam Tropic; MultiCam Black; MultiCam Alpine
i2022,MultiCamÂ® Full Fabric Cap,Medium profile six panel structured cap; Modified flat visor; Poly/cotton blend MultiCamÂ® ripstop crease resistant fabric; Adjustable snap back closure,OSFM,17.0,15.25,15.0,15.0,14.75,14.75,21.75,20.0,20.0,19.75,19.75,19.5,MultiCam; MultiCam Tropic; MultiCam Black
i3057,7 Panel Trucker Mesh Back Cap,Medium profile seven panel structured cap; Classic flat bill visor; 100% polyester fabric with trucker mesh; Adjustable snap back closure,OSFM,14.25,12.5,12.5,12.25,12.0,12.0,19.0,17.5,17.25,17.0,17.0,16.75,White/Black Mesh; Khaki/Black Mesh; Gray/Black Mesh; Navy/White Mesh; Royal Blue/White Mesh; Red/White Mesh; Maroon/White Mesh; Black/White Mesh; Black/Black Mesh
i6089M,YP ClassicsÂ® Premium Snap Back Cap,High profile six panel structured full fabric cap; Classic flat bill visor with classic green undervisor; Acrylic/wool blend fabric; Adjustable snap back closure,OSFM,19.0,18.0,18.0,17.75,17.75,17.5,22.0,21.0,21.0,20.75,20.75,20.5,Black; Gray; Navy; Red; Royal Blue
i6245CM,YP ClassicsÂ® Classic Dad Cap,Low profile six panel unstructured full fabric cap; Standard pre-curved visor; 100% cotton twill; Fabric strap with antique brass sliding buckle,OSFM,18.5,17.75,17.5,17.5,17.25,17.0,21.5,20.75,20.5,20.5,20.25,20.0,Black; Gray; Navy; Khaki; White
i7042,Performance Athletic Visor,Standard pre-curved visor; 100% polyester fabric; UV protection & moisture wicking; Stretchable hook & loop closure,OSFM,14.5,12.75,12.5,12.5,12.25,12.25,19.25,17.75,17.5,17.25,17.25,17.0,Black; Gray; White; Navy; Red; Royal Blue; Maroon (Out of Stock)
i8509,Melange Trucker Mesh Back Cap,Mid profile six panel structured trucker cap; Shapeable pre-curved visor with contrasting silver polyester undervisor; Two-tone caps feature 100% poly melange blend fabric with trucker mesh; Tri-color caps feature a poly/spandex blend melange fabric with performance mesh; Moisture wicking; 110 TechnologyÂ® sweatband with adjustable snap back closure,OSFM,20.25,19.25,19.25,19.0,19.0,18.75,23.25,22.25,22.25,22.0,22.0,21.75,Gray Melange/Black; Royal Melange/White; Red Melange/White; Navy Melange/White; Black Melange/White; Gray Melange/Charcoal
i8527,Premium Vintage Washed Mesh Back Cap,Mid profile six panel unstructured relaxed cap; Standard pre-curved visor; 100% vintage washed cotton twill with washed soft trucker mesh; 3-part comfort fit sweatband with adjustable snap back closure,OSFM,17.0,16.25,16.0,16.0,15.75,15.5,20.0,19.25,19.0,19.0,18.75,18.5,Washed Navy; Washed Red; Washed Brown; Washed Olive; Washed Black
i5054,Retro Foamie Trucker,Medium profile five panel structured cap; Modified flat visor; 100% Polyester foam with trucker mesh; Rope accent; Adjustable snapback closure,OSFM,11.25,9.5,9.5,9.25,9.25,9.0,16.25,14.5,14.25,14.25,14.0,14.0,White/Pink/Black; White/Pink/Green; White/Maroon/Black; White/Forest Green/Black; White/Green/Black; White/Red/Black; White/Orange/Black; White/Yellow/Black; White/Navy/Black; White/Royal Blue/Black; White/Red/White; White/Orange/White; White/Navy/White; White/Royal Blue/White; White/Black/White
i3056,Summit Perforated Cap with Rope,Medium profile five panel structured cap; Modified flat visor; 100% Polyester fabric with perforated sides and back; Rope accent; Quick dry sweatband with adjustable snapback closure,OSFM,17.25,15.5,15.5,15.25,15.0,15.0,22.0,20.5,20.25,20.0,20.0,19.75,Mustard; Khaki; Redwood; Black; Red; Royal Blue; Navy; White; Gray; Maroon; Forest Green
i3068,Hometown 5 Panel,Medium profile five panel structured cap; Modified flat visor; Poly/cotton blend fabric; Adjustable snapback closure,OSFM,14.25,12.5,12.5,12.25,12.0,12.0,19.0,17.5,17.25,17.25,17.0,16.75,Black; Gray; Olive Green; Dark Gray; White/Black; White/Green; White/Brown; White/Navy; White/Red; White/Royal Blue; Navy; White
